fulltext|chapter|year|month|location,0.0,0.0
many young men of what is commonly called the upper middle class yearly leave their country to seek fortune or to put the case more modestly subsistence in canada it has occurred to me having recently sent two sons to that country to publish some extracts from the letters in which they have described their experience and to say something about their preparations for this undertaking many parents will be glad i imagine to know how their sons should be equipped and what is the sort of life which they actually lead my two sons then when they left england vi introduction for canada were aged respectively eighteen years one month and sixteen years nine months and were both strong and well grown i mention this because many lads at the age of the younger of the two are quite unfit for the work which as will be seen fell upon them this lad was nearly as tall as his brother five feet eleven inches and almost his match in strength as the two were very closely attached to each other and i looked for much advantage to both from their continued companionship i did not like to separate them otherwise i should say that it would not be well to send out so young a lad they had been educated in the ordinary way at a grammar school and for a short time before their departure at university college london i can hardly say that any attempt had been made to specialize their education indeed the idea of emigrating though long cherished by them did not take 1 introduction vii any definite shape till but a few weeks before it was carried into execution if it had i am not sure whether i should have cared to divert their attention from their general instruction still i do not doubt that if they had realized the probability of their going to a country where both the french and german languages are spoken they might have applied themselves with more diligence to these studies when it had been determined that they should go they attended at the college a course of lectures on practical geology i very much regret that their teaching in this most valuable and interesting subject extended over so brief a time of matters that were likely to be practically useful they learnt at home some simple operations in cooking for instance how to make a suet pudding to boil potatoes and to make bread they received instruction from a shoemaker and under his supervision heeled soled vlll introduction and patched boots they also learnt how to mend a rent in a coat and to darn a hole in a stocking i am told and i can well believe that they lost much by missing what they might easily have got and what is indeed within the reach of most lads some practical instruction in farriery there was a forge close to their home where they might have learnt how to shoe horses and acquired some elementary knowledge of the ordinary diseases of the animal and of the remedies with which they are treated if more time had been available they might have attended classes at the veterinary college i am given to understand that even a very moderate skill in the veterinary art will be found one of the most profitable attainments that a lad can acquire they had the advantage of using a workshop belonging to a kind friend and neighbour here they had acquired some skill in carpentering enough to enable them in a rude 6 introduction ix kind of way to set up and even to construct their own beehives when it was settled that they were to go they received some practical instruction from a skilled carpenter they helped him to fence a field and to construct a wooden cow house and they worked under his supervision for some days at various miscellaneous jobs the lads had for several years before their departure lived in the country if one of the remoter suburbs of london can be called country here they had learnt something about gardening and especially about the pruning of fruit trees they had kept pigs which they managed themselves and they had also in a small way been bee masters when the plan of emigration was matured they attended the first course of lectures given by the ambulance association having for its subject first aid in cases of accident it x introduction is impossible to exaggerate the importance of this point i should strongly advise all parents to insist upon their sons acquiring some elementary knowledge of what should be done in an emergency before the arrival of professional aid often long delayed as one may easily imagine in a thinly populated country i say insist because they will probably find them unwilling or contemptuous as my sons certainly were young people seem to count upon an immunity from accident a delusion which their elders should not suffer to prevent them from acquiring the knowledge necessary for dealing with it in its first and most urgent needs there is no necessity for pointing out how often health or life may be saved by presence of mind guided by ever so little acquaintance with elementary medical facts when i add that the lads had received some lessons in riding they had not had it will have been seen introduction xi that thorough country breeding of which riding is a necessary part but that they were not so expert as they might advantageously have been i have said enough on this part of my subject they took with them fishing rods and tackle i should particularly recommend under this head a good stock of artificial bait in choosing a rod particular care should be taken that the wood should be suitable to the climate with its extremes of heat and cold and especially its dryness the tackle should not be too fine they had also each a gun it was a twelve bore sporting gun one barrel choke the other cylinder they had a box of games and a small chest with various medical appliances of the most necessary kind the list of the outfit which the two lads took with them is as follows it must be remembered that they started their life in a xll introduction gentleman s house and therefore wanted some things which might not in every case be required dress suit best tweed suit tennis suit one cloth suit of leather suiting extra trousers of ditto the three suits that they had in wear two pairs of corduroy trousers ulster coat pea jacket mackintosh dressing gown useful as an extra warm garment twelve flannel shirts two white shirts four pyjamas of flannel four pairs winter and summer drawers four vests twenty four pairs of socks six collars the flannel shirts being furnished with collars introduction xiii white cravats and cuffs cardigan two jerseys twelve pocket handkerchiefs some coarse coloured handkerchiefs might be obtained in canada six turkish towels waterproof sheet should be large and of the best quality blankets should be an undivided pair of large size and thick rug i six pairs of dress gloves three hedging and ditching ditto two pair canada mittens a housewife with buttons needles etc of all kinds saddlery needles included one pair of high boots others can be bought in canada pair of boots dress shoes pair of shoes not nailed pair of slippers ambulance braces helmet of jager wool xiv introduction cholera belt trunk which should be of a manageable size an indiarubber bath should have been added and some coarse cotton shirts portmanteau for cabin i must express my hearty thanks to mr a g bradley 22 great george street westminster by whose means my sons were settled in their first home i think that i may mention the names of the two tradesmen who supplied the outfit in a manner that has given satisfaction both here and in canada they have gained considerable experience in finding out what is really suitable for the needs of young men thus emigrating mr c t merryweather tailor and outfitter bridgegate east retford mr f t clark bootmaker same address it should be especially remembered that pieces for repair of garments should be sent introduction xv out also all old clothes available should be included and let everything be made large i may say that the total cost of outfit voyage and maintenance of the two lads for the first year also of taking up and stocking land has been less than 500 it may be done for a much smaller sum a j c contents part i ontario|introduction|1889||,0.04663923182441701,0.013717421124828532
june 1886 on saturday we left toronto by the mid day train arriving here a few minutes before six the country through which we passed was quite different to that between montreal and quebec there were still large forests but the fields looked more cultivated and we saw lots of large orchards we saw lake sincoe and in the distance barrie this is a splendid place with a sort of rambling old farmhouse a large garden and orchard and lots of vines the fruit has all done blossoming and is forming fast the farm is chiefly arable there are only about fifty head 1 2 4 our new home of cattle and a few horses the birds here are rather peculiar a robin is about as big as a thrush blackbirds and canaries are flying about in plenty there are also plenty of mosquitoes but i have only been bitten once and that hardly itched at all i enclose a mosquito mr and mrs b are very nice people indeed the family consists of two sons and three daughters we could not get our big trunk which the porters at euston christened the woolwich infant into the house for some time at last one of the doors was taken down and then we managed it we began work on monday at six this work was loading manure from the barn yard into waggons which were then drawn out to the fields a waggon being always waiting to be filled this was continued till eight when we went in to breakfast breakfast consisted of fresh meat tea bread and butter and fruit after breakfast we went to the the first week s work 5 potato pits to cut up potatoes for seed the potatoes had to be cut into pieces containing one or two eyes the juice stains the hands very much and we found it almost impossible to wash it off during the day soap only making it worse this work was kept on till twelve when we returned to the house for dinner consisting of roast mutton potatoes beans and pudding after dinner we planted potatoes till six we had to plant each seed potato by itself along a furrow and being kept in a stooping posture the whole time our backs soon began to ache at six we had a tea of bread and butter stewed fruit and tea after tea we went into the garden and worked at getting the tennis lawn into o o order when it became dark we went into the house and played whist till ten o clock when we had a supper of bread and butter and milk and then went to bed the next morning after the usual tumble up boys at our door we started on the 6 the first week s work same work and indeed kept it up just the same every day till friday all the potatoes being then sown on friday morning we followed a plough on some quite new ground our portion of the work being to make the sods stop in the places into which the plough turned them this had to be done with our hands and as the sods were frequently of considerable length and size and very stiff it was no easy job and very exasperating when after a frantic struggle to push a sod three or four feet long out of the furrow you saw it slowly roll back into its former position we had also to help the man at the plough to clear it of roots of which there were plenty altogether one had to be pretty lively to keep up with the plough we left off at eight to go to breakfast after breakfast we did odd jobs such as helping to harness the horses and to fix up fences after dinner we dug weeds in the fields till tea at six after tea we went along a few birds 7 the stream and shot a few birds and came in at dark to play whist on saturday we got up at six and fetched the cows in and then watched them being milked till eight when we had breakfast after breakfast we worked in the garden digging and spreading manure till twelve after dinner we went along the creek with our guns and shot some chipmunks a woodpecker and bee bird getting back about half past four about ten that night there was an alarm that the colts had got on to the railway track we went out with one of the men to try and find them but could not do so as we then heard that there would be no more trains till monday morning we did not trouble any further about half an hour later the boss came home and we helped to put away his horses and rig|i our new home the first week s work a few birds|1886|june|Ontario,0.013301088270858524,0.018137847642079808
june herbert and i went out shooting in 8 a few birds the bush the other day he shot an eye holder a bee bird and a chipmunk and i shot two chipmunks an eyeholder is a bird with a large beak like a woodpecker a red mark on its head and a black one on its breast its wings underneath are a bright orange it is a splendid looking bird when it is properly cured we will send the skin to you the eye bird is small with a black back white breast and a crest of orange red chipmunks are little brown squirrels with dark stripes on their backs yesterday we were sent out to chop down weeds some distance off we bird nested at the same time but we only found some young swallows in the hole of a tree there is a large kingfisher here which we have tried to shoot but we have not succeeded yet as it never settles we manage now to make our cartridges fairly well the tennis court has now been marked out and we are going to challenge the b club near here as soon as we have had some a few birds 9 practice the mosquitoes have become perfectly awful they make for my hands when i am asleep they do not touch my face but sometimes they bite my neck i have about thirty bites on each hand and as many on each of my feet socks are no protection at all they manage to get through even the thickest we get up about six o clock and bathe in the mill pond which is about twelve feet deep in the middle on sundays we have not much to do and come down about eight altogether it is a very jolly life though the work is hard we have however plenty to eat and as much time to ourselves as we want there are plenty of places round about with any quantity of fish but i have not tried yet as the fish in the stream are only very small|i our new home the first week s work a few birds|1886|june|Ontario,0.03305785123966942,0.030303030303030304
june we had a tremendous thunderstorm here a few days ago the rain came down in great sheets and in a few minutes the road was turned into a stream six or eight inches deep we managed to get into shelter just before it came on on friday afternoon we went to a garden party nine miles off there were six of us in a democrat a four wheeled vehicle with two seats one behind the other the roads were very bad and one or two hills were so steep that we had to walk up and going down had to hold on to keep the rig from overrunning the horses it took life at the farm 11 three hours to do nine miles we got home again about half past nine a lawn tennis match was to have been played against a neighbouring club but the rain prevented it the strawberries have been on for some time now the other day mr b took a hundred quarts to market i am now learning to milk at first i took half an hour to half milk a single cow every morning dick goes to bring the cows in while i have to water and groom the driving horse and sometimes one or two colts if they have been used and to clean out their stalls before breakfast this morning when i took tiny to the creek and was riding bareback with a rope round his neck he took it into his head to get excited and canter along the road and as i was not able to stop him not having a bridle i simply let him go and held on tight after breakfast this morning we had to go and head some steers and got back about half past one 12 life at the farm i can harness a pair of horses and put them in a rig now almost without a mistake the canaries here fly about in flocks just as sparrows with you and there are some splendid butterflies and humming birds three days ago we began taking in the hay here the work is not at all unpleasant but rather hard we had breakfast at six a m dinner at twelve tea in the field or lawn supper at nine yesterday we went on working till nine so as to be able to have a picnic to morrow up the mountain i was awfully glad to get to bed but was all right this morning i was down at ten just in time for breakfast as i did not have to fetch the cows in at six as usual of course everywhere people have to work late with the hay when there is fear of rain and there is a certain amount of fun in hurrying it in as those in the field try to put on the loads so as to race those who are unloading at the barn this is really very exciting i have life at the farm 13 been at the barn stowing the hay away as it is brought the weather is delightful not too warm with a cool breeze from the lake though a few days ago it was awfully hot 96 in the shade the mosquitoes are gradually disappearing and that is a good thing sundays here are very jolly as there is no work to do except occasionally to herd cattle and that cannot be called work as we sit in a shady place and read and have a dog to look after the beasts|ii life at the farm work and play haying before the harvest|1886|june|Ontario,0.03289473684210526,0.024671052631578948
july as you may like to have a more accurate account of our work here is an extract from my diary saturday up at six a m watered and groomed tiny and cleaned out his stable milked two cows and fed the calves they eat like little pigs at eight breakfast after breakfast harnessed tiny to the buggy life at the farm fetched the sheep down for one to be killed and then took them back after dinner herded cattle up beyond the old farm there were heaps of wild strawberries and raspberries brought the cattle back at five had a bathe and milked two cows monday up at six a m and bathed the foreleg of the mare with hot water also had to milk her as the colt was not allowed to go near her then did some hoeing in the garden and had a bathe after breakfast and dinner did a lot of various little jobs tuesday up at six a m and milked the mare again shifted some pea straw out of the barn after breakfast unloaded a waggon of hay and got very hot as we were in a hurry expecting another load which by the way never came in the afternoon we played a lawn tennis match with the b club herbert and i life at the far m 1 won both our doubles and singles i played the captain who said he had not been beaten for three years when i was running the horse rake the other day i had a slight shine or two with lucy who was in the rake once she reared up and nearly broke the shaft which brought the boss round to see what was up in pretty quick time yesterday i got up at six as usual and after a piece of bread and butter was set to work at some weeding in the garden i usually go and fetch the cows it had been raining all the day before and during the night too the clothes i wore were large straw hat flannel shirt pair of blue serge trousers socks and top boots at eight o clock i came in to breakfast which consisted of ham tea bread and butter after breakfast i went out and picked raspberries growing on canes or bushes about life at the farm two feet six inches high this i did till twelve my back was then beginning to ache we then had dinner which lasted about half an hour i picked more raspberries till two p m afterwards i helped herbert put a team of colts into the carriage and we went off to play a tennis match at c the day i have just described was one which we should term decidedly easy as we generally have not to pick fruit except when there is a large supply wanted another reason was that it had been raining off and on for the last week and thus delayed the haying which had just begun we found that hard work and no mistake three days ago we had a picnic to the shores of the georgian bay we bathed and ate wild strawberries and enjoyed ourselves very much the roads here are awfully rough now and then they are varied by patches of corduroy roads which consist of trunks of trees this makes a good deal of bumping hi aymg m|ii life at the farm work and play haying before the harvest|1886|july|Ontario,0.024054982817869417,0.022336769759450172
july i have only time for a few words we have been getting in hay very fast on wednesday there was a sudden and very severe rainstorm i only brought in a load of hay about three minutes before it was raining bucketfuls and then the wind got up suddenly and one of the men had to rush and shut the barn doors to prevent the roof being blown off on friday and saturday we were working at hay till half past eight to morrow monday we begin the wheat harvest i expect we shall have a fairly busy time of it we had an upset driving a team of colts into c on wednesday one of them shied at a log in the road and we were all quietly deposited in the ditch nobody was hurt|ii life at the farm work and play haying before the harvest|1886|july|Ontario,0.006756756756756757,0.02027027027027027
august we have just finished taking the hay in here and for the next month or two we shall be employed getting in the harvest that 2 i8 before the harvest means breakfast at six and work till eight or nine in the evening we began cutting the wheat yesterday with a new machine that cuts the wheat and binds it into sheaves all the hay season i have worked in the barns taking the hay from the waggons and putting it away which is hot and dusty work though i have got used to it by now i feed the calves every morning and evening with pails of milk and most exasperating they are as there are four calves and two pails three of them get to one pail and one to the other the consequence is that the three get their heads jammed in and then jump about wq have several colts here i am learning to ride them bareback sometimes without a bridle and with only a rope round their necks i can manage to stick on now though not very comfortably i have only been chucked off once three nights ago before the harvest l9 we had a tremendous thunderstorm i was wakened about twenty minutes to three by the bedclothes being lifted off me by the wind we sleep with both door and window open there was only just time to get up and shut the window when the rain came down in torrents the lightning was wonderfully bright and incessant once i could read my watch for nearly five minutes consecutively|ii life at the farm work and play haying before the harvest|1886|august|Ontario,0.03237410071942446,0.014388489208633094
august to day being sunday we had breakfast at a quarter past ten though i have been up since seven as i had to look after the driving horses and wanted to have time for a bathe as well dick has been out most of the morning and is now herding cattle he has to drive them to the pastures and then watch them to prevent their getting to the crops we have been very busy all this week cutting the wheat and barley and then stacking it up yesterday dick and w played a tennis match against o beating them very easily indeed we do not expect harvesting 21 to have any spare time for the next month as we shall be bringing in the different crops there has just been a spell of cool weather but it is hot again now about 960 by this time i can manage to stick on to a horse bareback pretty tight this morning we took three horses to the creek to water and raced back we had only bridles on so it was rather exciting we are both well and so sunburnt that i don t think you would know us if you met us in our working dress a large straw hat a gray shirt an old pair of trousers and sometimes boots up to the knees the sleeves of the shirts generally rolled up to the elbows our arms hands and faces being just about the colour of the chess box which aunt k gave us tell b that he would be surprised to see the way they garden here the celery trench is a slight furrow made with the corner of a hoe 1 inches deep and the tomatoes are planted out in patches like cab 22 harvesting bages i don t think the fruit here is much better than at home the gooseberries are not nearly so good they have however a very good kind of red currant called the cherry currant the berries are about as big round as a fourpenny bit perhaps a little larger m wants to know how we get on without ices i expect we eat a good many more than you do we never go into c without having nearly a dozen each everyone you meet treats you to an ice or lemonade dick sends s a letter on birch bark it is just the same as they make the canoes from the rough outside skin being peeled off with a knife|iii harvesting an awkward customer a hot corner how to drive in the dark finishing the grain harvest|1886|august|Ontario,0.03881278538812785,0.0182648401826484
august all last week we have been getting in the wheat we have worked from 6 30 till 12 and from 1 till 8 or 9 good long hours and heaps to do the whole time yesterday i went to the boss s other farm about six miles off to give a hand there over twenty acres harvesting 23 of wheat passed through my hands or rather through my pitchfork i pitched ten loads of sheaves on to the waggons and then pitched four loads off all between 12 30 and 7 30 and then i was less tired than on any other evening this week we shall have got the whole of the wheat and barley in by tuesday night you ask about tobacco and cigars here they are simply ghastly as for the fauna and flora they are nothing very great there are squirrels musk rats mice chipmunks a sort of half squirrel ground hogs a sort of prairie dog i suppose about three feet long minx polecat and very seldom a skunk garter snakes and one or two rattlesnakes are seen every year a few hummingbirds lots of canaries sparrows and robins a kind of red breasted thrush blackbirds a kind of small crow crows and lots of small birds of the lark and stone chat kind the flowers are rather poor the wild iris being the best 24 harvesting|iii harvesting an awkward customer a hot corner how to drive in the dark finishing the grain harvest|1886|august|Ontario,0.028,0.028
august we have been harvesting in real earnest following a reaping machine and stacking up the sheaves into groups of ten each consists of two leaning against each other this i did the other day from 6 45 a m till 7 p m ten acres5l about i could not work fast as there was a high wind on at other times we have been unloading waggon loads of sheaves in a barn this is done with hay forks the sheaves have to be tossed sometimes ten feet above your head to somebody who catches them with a fork and then throws them to another fellow who shoves them away i have done most of the unloading here and find it requires good muscles as well as a certain knack yesterday i pitched off loads of sheaves from 6 30 a m till 9 p m allowing intervals for meals the only parts of me at all stiff were my fingers this shows that i am getting pretty well hardened to the work i think the harvesting very jolly and harvesting 25 i am seldom really tired now after a day of it this morning sunday i went down with p b to herd cattle about half past eight we came back at ten minutes to eleven i was rather hungry as i had not had anything to eat since yesterday s tea at 4 30 we have very fine cucumbers here and plenty of them i ate one about thirteen inches long for break fast this morning the weather now is hot enough to roast a potato|iii harvesting an awkward customer a hot corner how to drive in the dark finishing the grain harvest|1886|august|Ontario,0.03859649122807018,0.028070175438596492
